model,facet,count,percentage
llama-3.2-1b_gsm_8k_test,names,818,72.38938053097344
llama-3.2-1b_gsm_8k_test,food,281,24.867256637168143
llama-3.2-1b_gsm_8k_test,rituals,9,0.7964601769911505
llama-3.2-1b_gsm_8k_test,dance,2,0.17699115044247787
llama-3.2-1b_gsm_8k_test,festivals,3,0.2654867256637168
llama-3.2-1b_gsm_8k_test,languages,2,0.17699115044247787
llama-3.2-1b_gsm_8k_test,states_info,6,0.5309734513274336
llama-3.2-1b_gsm_8k_test,places,1,0.08849557522123894
llama-3.2-1b_gsm_8k_test,jwellery,2,0.17699115044247787
llama-3.2-1b_gsm_8k_test,games,4,0.35398230088495575
llama-3.2-1b_gsm_8k_test,clothing,2,0.17699115044247787
mistral_gsm_8k_test,food,52,6.896551724137931
mistral_gsm_8k_test,names,610,80.90185676392572
mistral_gsm_8k_test,languages,2,0.2652519893899204
mistral_gsm_8k_test,states_info,10,1.3262599469496021
mistral_gsm_8k_test,places,26,3.4482758620689653
mistral_gsm_8k_test,clothing,11,1.4588859416445623
mistral_gsm_8k_test,games,6,0.7957559681697612
mistral_gsm_8k_test,rituals,15,1.989389920424403
mistral_gsm_8k_test,festivals,3,0.3978779840848806
mistral_gsm_8k_test,jwellery,10,1.3262599469496021
mistral_gsm_8k_test,drinks,6,0.7957559681697612
mistral_gsm_8k_test,dance,1,0.1326259946949602
mistral_gsm_8k_test,textiles,1,0.1326259946949602
mistral_gsm_8k_test,architectures,1,0.1326259946949602
gemma-2-2b_gsm_8k_test,names,500,86.35578583765113
gemma-2-2b_gsm_8k_test,food,56,9.671848013816927
gemma-2-2b_gsm_8k_test,states_info,3,0.5181347150259068
gemma-2-2b_gsm_8k_test,textiles,1,0.17271157167530224
gemma-2-2b_gsm_8k_test,drinks,3,0.5181347150259068
gemma-2-2b_gsm_8k_test,clothing,5,0.8635578583765112
gemma-2-2b_gsm_8k_test,festivals,1,0.17271157167530224
gemma-2-2b_gsm_8k_test,languages,2,0.3454231433506045
gemma-2-2b_gsm_8k_test,jwellery,2,0.3454231433506045
gemma-2-2b_gsm_8k_test,traditions,1,0.17271157167530224
gemma-2-2b_gsm_8k_test,rituals,1,0.17271157167530224
gemma-2-2b_gsm_8k_test,dance,2,0.3454231433506045
gemma-2-2b_gsm_8k_test,games,2,0.3454231433506045
llama-2_gsm_8k_test,names,786,63.18327974276527
llama-2_gsm_8k_test,food,427,34.32475884244373
llama-2_gsm_8k_test,clothing,12,0.964630225080386
llama-2_gsm_8k_test,states_info,4,0.3215434083601286
llama-2_gsm_8k_test,games,5,0.40192926045016075
llama-2_gsm_8k_test,places,1,0.08038585209003216
llama-2_gsm_8k_test,rituals,2,0.1607717041800643
llama-2_gsm_8k_test,drinks,2,0.1607717041800643
llama-2_gsm_8k_test,languages,4,0.3215434083601286
llama-2_gsm_8k_test,jwellery,1,0.08038585209003216
llama-3_gsm_8k_test,food,88,10.220673635307783
llama-3_gsm_8k_test,clothing,9,1.0452961672473868
llama-3_gsm_8k_test,names,716,83.15911730545878
llama-3_gsm_8k_test,states_info,12,1.3937282229965158
llama-3_gsm_8k_test,rituals,16,1.8583042973286876
llama-3_gsm_8k_test,games,3,0.34843205574912894
llama-3_gsm_8k_test,places,6,0.6968641114982579
llama-3_gsm_8k_test,festivals,2,0.23228803716608595
llama-3_gsm_8k_test,drinks,6,0.6968641114982579
llama-3_gsm_8k_test,textiles,1,0.11614401858304298
llama-3_gsm_8k_test,dance,1,0.11614401858304298
llama-3_gsm_8k_test,architectures,1,0.11614401858304298
llama-3.2-3b_gsm_8k_test,names,760,79.91587802313354
llama-3.2-3b_gsm_8k_test,food,139,14.616193480546794
llama-3.2-3b_gsm_8k_test,states_info,11,1.1566771819137749
llama-3.2-3b_gsm_8k_test,drinks,7,0.7360672975814931
llama-3.2-3b_gsm_8k_test,festivals,16,1.6824395373291272
llama-3.2-3b_gsm_8k_test,rituals,9,0.9463722397476341
llama-3.2-3b_gsm_8k_test,games,1,0.10515247108307045
llama-3.2-3b_gsm_8k_test,places,2,0.2103049421661409
llama-3.2-3b_gsm_8k_test,languages,2,0.2103049421661409
llama-3.2-3b_gsm_8k_test,jwellery,3,0.31545741324921134
llama-3.2-3b_gsm_8k_test,clothing,1,0.10515247108307045
gemma-2_gsm_8k_test,food,61,9.010339734121123
gemma-2_gsm_8k_test,names,573,84.63810930576071
gemma-2_gsm_8k_test,places,5,0.7385524372230428
gemma-2_gsm_8k_test,states_info,11,1.6248153618906942
gemma-2_gsm_8k_test,drinks,8,1.1816838995568686
gemma-2_gsm_8k_test,rituals,12,1.7725258493353029
gemma-2_gsm_8k_test,textiles,1,0.14771048744460857
gemma-2_gsm_8k_test,games,1,0.14771048744460857
gemma-2_gsm_8k_test,clothing,2,0.29542097488921715
gemma-2_gsm_8k_test,jwellery,1,0.14771048744460857
gemma-2_gsm_8k_test,languages,1,0.14771048744460857
gemma-2_gsm_8k_test,architectures,1,0.14771048744460857
